x,y,z
298.4460576890156,-18.192049084277997,155
298.5722303393052,-15.988222859745777,155
297.6871362801864,-13.651699282570176,155
297.778688803575,-11.48270414247673,155
297.8553467235512,-9.283987731202364,155
297.91577014426593,-7.08476529949377,155
298.9598213957595,-4.9015498585229045,155
298.9878558966332,-2.6948147123836805,155
297.99955605059426,-0.5143866723682062,155
297.99523242089583,1.6856614180445129,155
298.9745816563331,3.898656617426242,155
298.93766204374236,6.105260995345336,155
298.88444213669624,8.312054417283948,155
298.8159399565842,10.489710570986546,155
298.73035439753824,12.695485871804905,155
298.6285126531947,14.90004800464549,155
299.5234197742653,16.903283903705557,155
299.3904656029495,19.114107513799468,155
299.24123047801834,21.323367041851558,155
299.07565195677176,23.531986882367516,155
298.893772423963,25.739324120345483,155
299.693943912141,28.00964088285495,155
299.4790432080658,30.22089805385464,155
299.2477706201432,32.43103111025224,155
299.9935437445065,34.754477576463174,155
299.7288517093831,36.96776234741109,155
300.44308332152417,39.28044913510661,155
300.1449007339202,41.497452493197386,155
300.85767498519664,43.596552644696445,155
301.5161943931722,45.967211343073714,155
301.1686163641354,48.19195490237193,155
301.7908679136435,50.57936381499636,155
302.3943223292916,52.97805038889703,155
304.0260680596488,55.219108469711514,155
304.5761615697437,57.73527347680414,155
305.1284974188974,60.14648836703536,155
305.7216257846762,62.275898448552496,155
305.25364402816973,64.53071212626939,155
305.7521690897274,66.9672389824067,155
307.1999148774361,69.66500053323779,155
306.6772288621306,71.93105933770457,155
307.1738808214557,74.16338005435094,155
306.6179854385929,76.42912406654168,155
307.01387598346963,78.93972354655628,155
307.38949813567615,81.45978416308962,155
307.7444460233823,83.99021336894886,155
308.1780537448573,86.1759084085095,155
307.5336007668359,88.44820178717265,155
307.8312111104562,90.99970036362622,155
308.0898894363782,93.61954938515916,155
308.34512673937144,96.18878737192273,155
308.6923926912471,98.412431605732,155
308.90791894694945,100.99949312677222,155
309.1022005000996,103.59454447989137,155
309.2747662165992,106.19848860350095,155
309.51938042433386,108.54378444543241,155
309.65098357327975,111.16325099645309,155
309.7605309121035,113.79109582498867,155
309.85927817675116,116.39685445828319,155
310.9844340911033,119.07007076942641,155
311.0281252607658,121.72717567073255,155
311.0494826825714,124.39139569481767,155
311.0605995242802,127.0326864377644,155
311.13675929867173,129.471684213655,155
311.10551027040117,132.12630880862943,155
304.31218443441384,137.65934187244727,155
295.47001631392925,144.7013111877235,155
291.59764251640013,145.76287208640514,155
287.6854876100521,146.85387369275125,155
