angle,distance,x,y,z
356.5118,299.0,298.4460576890156,-18.192049084277997,75
356.9348,299.0,298.5722303393052,-15.988222859745777,75
357.3743,298.0,297.6871362801864,-13.651699282570176,75
357.7917,298.0,297.778688803575,-11.48270414247673,75
358.2147,298.0,297.8553467235512,-9.283987731202364,75
358.6377,298.0,297.91577014426593,-7.08476529949377,75
359.0607,299.0,298.9598213957595,-4.9015498585229045,75
359.4836,299.0,298.9878558966332,-2.6948147123836805,75
359.9011,298.0,297.99955605059426,-0.5143866723682062,75
0.3241,298.0,297.99523242089583,1.6856614180445129,75
0.7471,299.0,298.9745816563331,3.898656617426242,75
1.17,299.0,298.93766204374236,6.105260995345336,75
1.593,299.0,298.88444213669624,8.312054417283948,75
2.0105,299.0,298.8159399565842,10.489710570986546,75
2.4335,299.0,298.73035439753824,12.695485871804905,75
2.8564,299.0,298.6285126531947,14.90004800464549,75
3.23,300.0,299.5234197742653,16.903283903705557,75
3.653,300.0,299.3904656029495,19.114107513799468,75
4.0759,300.0,299.24123047801834,21.323367041851558,75
4.4989,300.0,299.07565195677176,23.531986882367516,75
4.9219,300.0,298.893772423963,25.739324120345483,75
5.3394,301.0,299.693943912141,28.00964088285495,75
5.7623,301.0,299.4790432080658,30.22089805385464,75
6.1853,301.0,299.2477706201432,32.43103111025224,75
6.6083,302.0,299.9935437445065,34.754477576463174,75
7.0312,302.0,299.7288517093831,36.96776234741109,75
7.4487,303.0,300.44308332152417,39.28044913510661,75
7.8717,303.0,300.1449007339202,41.497452493197386,75
8.2452,304.0,300.85767498519664,43.596552644696445,75
8.6682,305.0,301.5161943931722,45.967211343073714,75
9.0912,305.0,301.1686163641354,48.19195490237193,75
9.5142,306.0,301.7908679136435,50.57936381499636,75
9.9371,307.0,302.3943223292916,52.97805038889703,75
10.2942,309.0,304.0260680596488,55.219108469711514,75
10.7336,310.0,304.5761615697437,57.73527347680414,75
11.1511,311.0,305.1284974188974,60.14648836703536,75
11.5137,312.0,305.7216257846762,62.275898448552496,75
11.9366,312.0,305.25364402816973,64.53071212626939,75
12.3541,313.0,305.7521690897274,66.9672389824067,75
12.7771,315.0,307.1999148774361,69.66500053323779,75
13.2001,315.0,306.6772288621306,71.93105933770457,75
13.5736,316.0,307.1738808214557,74.16338005435094,75
13.9966,316.0,306.6179854385929,76.42912406654168,75
14.4196,317.0,307.01387598346963,78.93972354655628,75
14.8425,318.0,307.38949813567615,81.45978416308962,75
15.2655,319.0,307.7444460233823,83.99021336894886,75
15.6226,320.0,308.1780537448573,86.1759084085095,75
16.0455,320.0,307.5336007668359,88.44820178717265,75
16.4685,321.0,307.8312111104562,90.99970036362622,75
16.9025,322.0,308.0898894363782,93.61954938515916,75
17.3254,323.0,308.34512673937144,96.18878737192273,75
17.6825,324.0,308.6923926912471,98.412431605732,75
18.1055,325.0,308.90791894694945,100.99949312677222,75
18.5284,326.0,309.1022005000996,103.59454447989137,75
18.9514,327.0,309.2747662165992,106.19848860350095,75
19.325,328.0,309.51938042433386,108.54378444543241,75
19.7479,329.0,309.65098357327975,111.16325099645309,75
20.1709,330.0,309.7605309121035,113.79109582498867,75
20.5884,331.0,309.85927817675116,116.39685445828319,75
20.9509,333.0,310.9844340911033,119.07007076942641,75
21.3739,334.0,311.0281252607658,121.72717567073255,75
21.7969,335.0,311.0494826825714,124.39139569481767,75
22.2144,336.0,311.0605995242802,127.0326864377644,75
22.5934,337.0,311.13675929867173,129.471684213655,75
23.0109,338.0,311.10551027040117,132.12630880862943,75
